Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
,prv-l,Previous (left arrow key),Précédent (touche gauche),Vorige (links pyltjie sleutel),I mëparshëm (kyç majtë arrow),مفتاح السهم الأيسر - سابق,Նախորդ (ձախ սլաքների բանալին),Предишен (лява стрелка ключ),上一筆（左箭頭鍵）,上一个（左箭头键）,Předchozí (klávesy šipka vpravo),Vorige (linkse pijlen-toets),Eelmine (vasakut nooleklahvi),Früher (linke Pfeiltaste),Προηγούμενος (αριστερό πλήκτρο βέλους),पिछला (बाएँ तीर कुंजी),Előző (bal nyíl gomb),Fyrri (vinstri ör lykill),Sebelumnya (tombol panah kiri),Precedente (tasto freccia sinistra),ᑕᐃᒪᐅᕋᑖᖅᑐᒥ (ᓴᐅᒥ ᖃᕐᔪᓐᓄᒐᖅ),前へ（左矢印キー）,이전 (왼쪽 화살표 키),Lepriekšējais (pa kreisi bulta taustiņu),Ankstenis (rodyklės dešinėn klavišu),Poprzedni (klawisz strzałka w lewo),Anterior (tecla seta para a esquerda),Anterior (tecla seta para a esquerda),Предыдущий (клавишей стрелка влево),Predchádzajúci (klávesy šípka doľava),Anterior (tecla flecha izquierda),ก่อน (คีย์ลูกศรซ้าย),Bir önceki (sol ok tuşu),Попередній (клавішею ліва стрілка),Trang trước (phím mũi tên trái)
,first,First,Premier,Eerste,I parë,الأول,Առաջին,Първи,第一筆,开始,První,Eerste,Esimene,Erste,Πρώτα,पहले,Első,First,Pertama,Primo,ᓯᕗᓪᓕᖅ,最初,처음으로,Pirmā,Pirmasis,Pierwszy,Primeiro,Primeiro,Первое,Prvé,Primero,แรก,İlk,Перший,Đầu tiên
,last,Last,Dernier,Laaste,I fundit,آخر,Անցյալ,Последно,最後一筆,末,Poslední,Laatste,Viimane,Letzte,Τελευταίος,अंतिम,Utolsó,Síðasta,Terakhir,Ultimo,ᑭᖑᓪᓕᖅᐹᖅ,最後,마지막,Pēdējā,Paskutinis,Ostatni,Último,Último,Последнее,Posledný,Último,ล่าสุด,Son,Oстанній,Cuối cùng
,page,Page,Page,,,,,,,,,,,,,,,,,,ᒪᑉᐱᒐᖅ,,,,,,,,,,,,,,
,esc-key,(escape key),(touche d\'échappement),(Escape-sleutel),(kyç shpëtojnë),مفتاح الهروب,(փախչել բանալին),(бягство ключ),（Esc鍵）,（逃生键）,(klávesy ESC),(Escape-toets),(klahviga Escape),(Escape-Taste),(κλειδί διαφυγής),(भागने कुंजी),(escape billentyűvel),(flýja lykill),"(tombol ""escape"")",(tasto ESC),(Esc ᓇᕿᒐᖅ,(「Esc」キ),(Esc 키와),(escape taustiņu),"(""escape"" klavišu)",(klawisz Esc),(botão ESC),(botão ESC),(клавишей Escape),(klávesy ESC),"(tecla ""esc"")",(คีย์หนี),(escape tuşu),(клавішею «escape»),(phím thoát)
Archived Web page template,arch-pg,This Web page has been archived on the Web.,Cette page Web a été archivée dans le Web.,Hierdie webblad is in die argief op die web.,Kjo faqe Web është arkivuar në Web.,وقد حفظت هذه الصفحة على شبكة الإنترنت.,Սույն վեբ կայքի պահոցավորված ցանցին վրայ ենք.,Тази страница е архивиран в мрежата.,此網頁已經封存。,该网页已过期。,Tato webová stránka byla archivována na webu.,Deze pagina is gearchiveerd.,See veebileht on arhiveeritud.,Diese Web-Seite wurde auf der Web archiviert.,Αυτή η σελίδα στο Web έχει αρχειοθετηθεί σχετικά με την στο Web.,इस वेब पेज वेब पर संग्रहीत किया गया है.,Ezt az oldalt az interneten archiváltuk.,Þessi vefsíða hefur verið sett í geymslu á vefnum.,Halaman ini telah diarsip di dalam jejaring.,Questa pagina web è stata archiviata sul web.,ᑖᓐᓇ ᒪᑉᐱᒐᖅ ᑐᖅᑯᖅᓯᒪᔪᖅ ᐃᑭᐊᖅᑭᕕᒻᒥ.,このページはウェブ上にアーカイブされています。,이 웹 페이지는 웹에 보관되었습니다.,Šī mājas lapa ir arhivēta.,Šis Web puslapis yra archyvuotas Web\'e.,Ta strona internetowa została zarchiwizowana.,Está página foi arquiva na Web.,Está página foi arquiva na internet.,Эта веб-страница находится в архиве в Интернете.,Táto webová stránka bola archivovaná na webe.,Esta página ha sido archivada en la web.,เวบเพจนี้ได้ถูกเก็บบนเว็บ.,Bu web sitesi web üzerinde arşivlenmiştir.,Цю веб-сторінку було направлено до веб-архіву.,Trang web này đã được lưu trữ trên Web.
Menu bar,sm-hlp,(open the submenu with the enter key and close with the escape key),(ouvrir le sous-menu avec la touche d\'entrée et le fermer avec la touche d\'échappement),(maak die submenu met die Enter-sleutel en sluit af met die Escape-sleutel),(hapet submenu me tastin Enter dhe të afërt me kyç shpëtojnë),(فتح القائمة الفرعية مع مفتاح الدخول وثيقة مع مفتاح الهروب),(Բացել ենթացանկը հետ մտնում բանալին եւ փակ է փախչել բանալին),(отворите подменюто с клавиша и в близост с бягство ключ),使用 『確定』鍵進入次選單，離開請按Esc鍵,（以输入键打开子菜单，退出键退出）,(otevřít podnabídku s enter a zavírají s klávesy ESC),(open het submenu via de Enter-toets en sluit het met de Escape-toets af),(ava alamenüü klahviga Enter ja sulge klahviga Escape),(Öffnen Sie das Untermenü mit der Eingabetaste und schließen mit der Escape-Taste),(Ανοίξετε το υπομενού με την εισάγετε την κλειδί και στενή με την κλειδί διαφυγής),(कुंजी और भागने की कुंजी के साथ बंद दर्ज सबमेनू खुला),"(Az almenüt az enter billentyűvel tudja lenyitni, és az escape billentyűvel bezárni.)",(opna undirvalmynd með enter og loka með flýja lykill),"(buka submenu dengan menekan tombol ""enter"" dan tutup dengan menekan tombol ""escape"")",(aprire il sottomenu con il tasto Invio e chiudere con il tasto ESC),(ᓱᔾᔪᑎᒃᑲᓐᓂᖅ ᒪᑐᐃᕐᓕ ENTER ᓇᕿᒐᕐᒧᑦ ᒪᑐᓗᓂᓗ Esc ᓇᕿᐊᕐᒧᑦ,（サブメニューを開くには「エンター」キーを、閉じるには「Esc」キーを押す。）,(키와 Esc 키와 밀접한 입력으로 하위 메뉴를 엽니 다),(atvērt apakšizvēlni ar enter taustiņu un aizvērt ar escape taustiņu),"(atidaryti submeniu su ""enter"" klavišu, o uždaryti su ""escape"" klavišu)",(dostęp do menu - klawisz Enter; wyjście z menu - klawisz Esc),(abrir o sub-menu com o botão ENTER e fechá-lo com o botão ESC),(abrir o sub-menu com o botão ENTER e fechá-lo com o botão ESC),"(откройте подменю клавишей Ввод, закройте клавишей Escape)",(otvoriť podponuku s enter a zatvárajú s klávesy ESC),"(pulse ""enter"" para abrir el submenú y ciérrelo con la tecla ""esc"")",(เปิดเมนูย่อยที่มีใส่กุญแจและใกล้ชิดกับคีย์หนี),(alt menüyü enter tuşu ile açıp escape tuşu ile kapatınız),(відкрийте підменю клавішею «enter» та закрийте клавішею «escape»),(mở menu con vào quan trọng và gần gũi với phím thoát)
Tabbed interface,tab-rot-off,Stop tab rotation,Arrêter la rotation d\'onglets,Stop tab rotasie,Stop rotacionin tab,ايقاف الدوران علامة التبويب,Կանգ էջանիշը պտույտը,Спри да се върти раздела,旋轉鍵-停止,停止标签旋转,Zastavit kartě otáčení,Stop de tabrotatie,Seiska sakkide rotatsioon,Stoppen Registerkarte Drehung,Σταματήστε να περιστροφή καρτέλα,टैब रोटेशन रोकें,Tabulálás engedélyezése,Stöðva flipann snúningur,Hentikan rotasi tab,Arresto rotazione scheda,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ ᑲᐃᕙᕐᓂᖓ ᓄᖅᑲᕐᓕ,タブローテーションを停止,탭 회전을 중지,Pārtraukt rotāciju,Sustabdyti rotaciją,Zatrzymaj przewijanie zakładek,Interromper a rotação das abas,Interromper a rotação das abas,Остановить ротацию вкладки,Zastaviť kartu otáčania,Detener rotación de pestañas,หยุดหมุนแท็บ,Tab dönüşünü durdur,Зупинити ротацію вкладки,Ngừng xoay tab
,tab-rot-on,Start tab rotation,Lancer la rotation d\'onglets,Begin blad rotasie,Fillojnë rrotullimin tab,بدء دوران التبويب,Սկիզբ էջանիշը պտույտը,Започнете въртене раздела,旋轉鍵-啟動,开始标签旋转,Zahájit kartě otáčení,Start de tabrotatie,Alusta sakkide rotatsiooni,Starten Registerkarte Drehung,Ξεκινήστε το περιστροφή καρτέλα,टैब रोटेशन प्रारंभ,Tabulálás kikapcsolása,Byrja flipann snúningur,Mulai rotasi tab,Inizio rotazione scheda,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ ᑲᐃᕙᕐᓂᖓ ᐱᒋᐊᕐᓕ,タブローテーションを再生,탭 회전을 시작,Sākt rotāciju,Pradėti rotaciją,Rozpocznij przewijanie zakładek,Iniciar a rotação das abas,Iniciar a rotação das abas,Начать ротацию вкладки,Dátum kartu otáčania,Comenzar rotación de pestañas,เริ่มหมุนแท็บ,Tab dönüşünü başlat,Почати ротацію вкладки,Bắt đầu luân chuyển tab
,tab,Tab #num#,Onglet #num#,blad #num#,Tab #num#,التبويب #num#,ականջակալ #num#,Раздел #num#,标签 #num#,标签 #num#,poutko #num#,tab #num#,Tab #num#,Tab #num#,Αυτί #num#,टैब #num#,Tab #num#,Tab #num#,tab #num#,linguetta #num#,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ #ᓈᓴᐅᑦ#,タブ #num#,탭 #num#,Tab #num#,kortelė #num#,Patka #num#,Aba #num#,Aba #num#,табуляция #num#,pútko #num#,Lengüeta #num#,แถบ #num#,çıkıntı #num#,табуляція #num#,Chuyển hướng #num#
,tab-list,Tab list,Liste des onglets,Tab lys,Lista tab,علامة التبويب قائمة,էջանշանը ցուցակ,Списък на разделите,籤頁列表,标签列表,Seznam kartě,Lijst van tabs,Sakkide nimekiri,Registerkarte-Liste,Καρτέλα λίστα,टैब सूची,Lap listája,Flipann lista,Daftar tab,Elenco schede,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ ᑎᑎᖅᐸᓪᓕᐊᒐᖅ,タブリスト,탭 목록,Saraksts cilnes,Skirtukas sąrašas,Lista zakładek,Lista Tab,Lista de Abas,Вкладка списка,Tab Zoznam,Lista de pestañas,รายการแท็บ,Tab listesi,Вкладка списку,Tab danh sách
,tab-pnl-end1,End of this tab panel.,Fin de ce panneau à onglets.,Einde van hierdie blad paneel.,Fundi i këtij paneli tab.,نهاية هذا الفريق التبويب.,Ավարտվեց այս էջանշանը վահանակի վրա.,В края на този раздел панел.,此籤頁選項結束。,此选项卡面板的结束。,Konec této kartě panelu.,Einde van het deelvenster met tabs.,Selle sakkide paneeli lõpp,Ende dieser Registerkarte angezeigt.,End του αυτής της πάνελ καρτέλα.,इस टैब पैनल के अंत.,Vége a lap panel.,Lok þessa flipann spjaldið.,Akhir panel tab ini.,Fine di questo pannello a schede.,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ ᐃᓱᐊ.,最後のタブパネル,이 탭 패널의 끝.,Beigas cilnes paneļa.,Šio skirtuko skydelyje pabaiga.,Koniec tego panelu zakładek.,Final deste painel da guia.,Final deste painel da guia.,Конец этой вкладке панели.,Koniec tejto záložke paneli.,Fin de este panel de pestaña.,ในตอนท้ายของแผงแท็บนี้,Bu tab paneli sonu.,Кінець  вкладці панелі.,Kết thúc của bảng điều khiển tab.
,tab-pnl-end2,Return to the tab list,Retourner à la liste des onglets,Keer terug na die blad lys,Kthehuni tek lista tab,العودة إلى قائمة التبويب,Վերադառնալ ցուցակին էջանիշը,Назад към списъка раздела,返回到籤頁列表,返回到标签列表,Návrat na kartu seznamu,Terug naar de lijst met tabs,Tagasi sakkide nimekirja,Zurück zur Liste der Registerkarte,Επιστροφή για να την λίστα καρτέλα,टैब सूची पर लौटें,Vissza a lap listája,Fara aftur á flipann lista,Kembali ke daftar tab,Ritorna alla lista schede,ᓱᑯᑦᑎᐊᓅᖅᑕᐅᑦ ᑎᑎᖅᐸᓪᓕᐊᒐᖓᓄᑦ ᐅᑎᕐᓕ,タブの一覧に戻る,탭 목록으로 돌아 가기,Atgriezties uz sarakstu cilnēm,Grįžti į skirtukų sąrašą,Powrót do listy zakładek,Voltar para a lista de guias,Voltar para a lista de guias,Вернитесь на вкладку список,Návrat na kartu zoznamu,Volver a la lista de pestañas,กลับไปที่รายการแท็บ,Tab listesine dön,Повернутися на вкладку списку,Quay trở lại danh sách tab
,tab-pnl-end3,or continue to the rest of page.,ou continuer au reste de la page.,of voortgaan om die res van die bladsy.,ose të vazhdojë për pjesën tjetër të faqes.,أو الاستمرار في بقية الصفحة.,կամ շարունակում է մնացած էջում.,или да продължат да останалата част от страницата.,或繼續其餘的頁面。,或继续其余的页面。,nebo pokračovat až do konce stránky.,of om met de rest van de pagina door te gaan.,või edasi ülejäänud lehele,oder der Rest der Seite fortzusetzen.,ή να συνεχίσουν προς την υπόλοιπη της σελίδας.,या पृष्ठ के आराम करने के लिए जारी है.,vagy továbbra is a többi oldalon.,eða halda áfram til the hvíla af síðunni.,atau melanjutkan ke seluruh halaman.,o continuare con il resto della pagina.,ᐅᕝᕙᓘᓐᓃᑦ ᒪᑉᐱᒐᐅᑉ ᐃᓚᖓᓄᑦ ᑲᔪᓯᓕ.,または、ページの残りの部分に進む。,또는 페이지의 나머지를 계속합니다.,vai turpināt uz pārējo lapu.,ar toliau likusia puslapio dalimi.,lub kontynuuj do końca strony.,ou continuar com o resto da página.,ou continuar com o restante da página.,или продолжать остальной страницы.,alebo pokračovať až do konca stránky.,o continuar al resto de la página.,หรือดำเนินการต่อในส่วนที่เหลือของหน้า.,ya da geri kalan sayfa devam etmektedir.,або продовжити до кінця сторінки.,hoặc tiếp tục với phần còn lại của trang.
,tab-play,Play,Lancer,Speel,Luaj,لعب,Խաղալ,Играя,播放,播放,Hrát,Afspelen,Mängi,Spielen,Παιχνίδι,खेल,Lejátszás,Spila,Main,Play,ᓂᓪᓕᐊᑎᓪᓕ,再生,놀이,Spēlēt,Žaisti,Odtwarzanie,Executar,Executar,Проиграть,Hrať,Reproducir,เล่น,Oynat,Програти,Chơi
Multimedia player,mmp-play,Play,Lire,Speel,Luaj,لعب,Խաղալ,Играя,播放,播放,Hrát,Afspelen,Mängi,Spielen,Παιχνίδι,खेल,Lejátszás,Spila,Main,Play,ᓂᓪᓕᐊᑎᓪᓕ,再生,놀이,Spēlēt,Žaisti,Odtwarzanie,Executar,Executar,Проиграть,Hrať,Reproducir,เล่น,Oynat,Програти,Chơi
,pause,Pause,Pause,Pause,Pushim,وقفة,Դադար,Пауза,暫停,暂停,Pauza,Pauze,Paus,Pausieren,Παύση,ठहराव,Pillanatmegállító,Brot,Jeda,Pausa,ᓄᖅᑲᑲᐃᓐᓇᕐᓕ,一時停止,중지,Pauze,Pauzė,Pauza,Pausar,Pausar,Пауза,Pauza,Pausa,หยุด,Duraklat,Пауза,Tạm dừng
,open,Open,Ouvrir,Oop,Hapur,فتح,Բաց է,Отворен,打開,打开,Otevřít,Openen,Ava,Öffnen,Ανοιχτό,खुला,Nyitva,Opinn,Buka,Aprire,ᒪᑐᐃᕐᓕ,開く,열기,Atvērt,Atidaryti,Otwórz,Abrir,Abrir,Oткрыть,Otvoriť,Abrir,เปิด,Açık,Відкрити,Mở
,close,Close,Fermer,Close,Afër,أغلق,Մոտիկ,Близо,停止,关闭,Zavřít,Afsluiten,Sulge,Schließen,Κοντά,पास,Bezárás,Loka,Tutup,Chiudere,ᒪᑐᓕ,閉じる,가까운,Aizvērt,Uždaryti,Zamknij,Fechar,Fechar,Закрыть,Zavrieť,Cerrar,ปิด,Kapat,Закрити,Đóng
,rew,Rewind,Reculer,Rewind,Rewind,الترجيع,Վերափաթաթում,Превъртане назад,倒轉,回放,Převinout zpět,Terugspoelen,Tagasi,Zurückspulen,Επανεκτύλιξη,उल्टा,Vissza,Baka,Putar mundur,Riavvolgere,ᐅᑎᒧᑦ,巻き戻し,되감기,Attīt atpakaļ,Atsukti,Przewiń do tyłu,Voltar,Voltar,Перемотка,Pretočiť,Retroceder,ม้วนกลับ,Geri sar,На початок,Tua lại
,ffwd,Fast forward,Avancer,Vinnig vorentoe,Fast përpara,سريع إلى الأمام,Արագ Որոնում,Бързо напред,快轉,快进,Rychlý posun vpřed,Snel vooruit spoelen,Kiirkerimine,Schnellvorlauf,Γρήγορη προς τα εμπρός,तेजी से आगे,Előre,Fljótur áfram,Putar maju,Avanti veloce,ᓱᒃᑲᔪᒥᒃ ᓯᕗᒧᑦ,早送り,빠른 앞으로,Ātrā pārtīšana,Sukti į priekį,Szybkie przewijanie do przodu,Avançar,Avançar,Ускоренная перемотка,Rýchly posun vpred,Avanzar,ข้างหน้าอย่างรวดเร็ว,Hızlı sar,Швидке перемотування вперед,Nhanh chóng chuyển tiếp
,mute-on,Mute,Activer le mode muet,Stom,Memec,كتم,Համր,Изключване,靜音,静音,Vypnutí,Geluid uitzetten,Vaigista,Stumm,Σίγαση,म्यूट,Lenémítás,Hljóðnemi,Redam suara,Muto,ᓂᐸᖏᓪᓕ,ミュート,음소거,Izslēgt skaņu,Užtylinti,Bez dźwięku,Ativar o modo silencioso,Ativar o modo silencioso,Отключение звука,Vypnutie,Silencio,ปิด,Sessiz,Відключити звук,Tắt
,mute-off,Unmute,Désactiver le mode muet,Ontdemp,Çheshtja,إلغاء كتمه,Կասեցնել խլացնելու,Вкл.звук,聲音,打开声音,Nahlas,Geluid aanzetten,Heli tagasi,Stummschaltung,Αναίρεση σίγασης,अनम्यूट,Hang bekapcsolása,Slökkva,Aktifkan kembali suara,Riattivare audio,ᓂᓪᓕᐊᓕ,ミュート解除,음소거 해제,Ieslēgt skaņu,Įjungti garsą,Przywróć dźwięk,Desativar o modo silencioso,Desativar o modo silencioso,Включить звук,Nahlas,Habilitar sonido,เปิดเสียง,Sesi aç,Включити звук,Bật tiếng
,volume,Volume,Volume,Volume,Volumin,جهارة الصوت,Ծավալը,Звука,音量,音量,Hlasitost,Volume,Helitugevus,Lautstärke,Ένταση του ήχου,मात्रा,Hangerő,Hljóðstyrk,Volume,Volume,ᓂᐱᖅᑯᖅᑐᓯᒋᐊᕈᑦ,音量,볼륨,Skaļums,Apimtis,Głośność,Volume,Volume,Громкость,Hlasitosti,Volumen,ปริมาณ,Hacim,Гучність,Khối lượng
